adsorption;;diff_heat;;deform;
X;Y;X;Y;X;Y
0.039249958;0.139665849;0.014282532;41.57597985;0.041129935;-0.004560843
0.08343884;0.777020711;0.02096108;139.2309758;0.08828715;-0.716981398
0.08845801;1.594537616;0.040950455;199.3407711;0.131992061;-1.008115204
0.098074418;2.557443908;0.068235334;17.3970169;0.181629234;2.666741742
0.117032849;2.819173567;0.075422872;9.792462854;0.192280703;3.855010241
0.139483213;2.937958566;0.110489109;30.77467967;0.234287967;6.721500011
0.248841055;3.339008936;0.142501414;360;0.263068786;10.18917644
0.301916379;3.531049478;0.247931484;110.5368089;0.2725262;22.59838541
0.387376865;3.716877536;0.297442203;65.59270621;0.309706572;22.44289445
0.440338293;3.972883657;0.385751744;69.72745397;0.364671063;22.2089401
0.461170823;4.09117971;0.447709551;62.83011431;0.402662251;20.54533041
0.48183251;4.305424131;0.456632277;120.6286096;0.445143885;33.24593658
0.485547058;4.94654675;0.472865932;169.5475085;0.513129496;32.87609912
0.48446505;5.554219744;0.478426248;62.09090961;0.590827338;32.76383338
0.490110645;6.019925968;0.495886103;81.67240779;0.673381295;33.94084732
0.493198768;7.012859267;0.49729739;50.42244349;0.728417266;35.97655209
0.499294768;8.134701614;0.504639166;41.22408642;;
0.50945218;8.793771409;0.527790441;35.3275865;;
0.617021344;9.290281201;0.622454628;40.46431652;;
0.730041963;9.452438544;0.745329129;54.09447424;;
0.796202331;9.568433677;0.798317938;89.87678018;;
